position,hostname,capacity_GiB,read_MB_s,write_MB_s
1,node1,1800,1042,1031
2,node2,1800,1042,1031
3,node3,1800,1042,1031
4,node4,1800,1042,1031
5,node21,3600,352,352
6,node22,3600,352,352
7,node11,2400,748,741
8,node12,2400,748,741
9,node13,2400,748,741
10,node14,2400,748,741
11,node15,2400,748,741
12,node16,2400,748,741
13,node17,2400,748,741
14,node18,2400,748,741
15,node19,2400,748,741
16,node20,2400,748,741
17,node5,1800,1042,1031
18,node6,1800,1042,1031
19,node7,1800,1042,1031
20,node8,1800,1042,1031
21,node9,1800,1042,1031
22,node10,1800,1042,1031
23,node23,3600,352,352
24,node24,3600,352,352
25,node25,3600,352,352
26,node26,3600,352,352
27,node27,3600,352,352
28,node28,3600,352,352
29,node29,3600,352,352
30,node30,3600,352,352
